48,61,3,13,0,3,0,128
58,45,3,22,0,2,1,125
43,43,3,16,2,3,0,146
47,35,1,16,1,0,0,156
29,39,0,12,0,1,0,175
38,39,3,7,0,0,0,169
39,38,1,4,0,3,0,171
34,37,7,8,0,2,0,168
27,30,2,9,0,1,0,187
36,35,3,11,0,0,0,171
23,25,2,10,3,0,0,193
25,32,2,7,0,0,0,190
29,28,1,11,1,0,0,186
32,36,0,2,2,0,0,184
40,28,4,6,1,1,0,176
25,29,1,4,0,0,0,197
32,20,1,9,1,2,0,191
34,23,1,7,0,0,0,191
34,23,0,8,0,0,0,191
35,17,0,4,0,3,0,197
32,22,2,6,0,0,0,194
29,25,0,7,1,1,0,193
23,23,0,5,1,1,0,203
27,19,2,7,0,1,0,200
25,18,0,5,0,0,0,208
33,23,1,5,1,0,0,193
31,23,0,7,1,0,0,194
18,31,0,2,0,0,0,205
31,20,0,4,0,0,0,201
22,23,4,2,0,0,0,205
28,21,0,4,1,0,0,202
19,21,0,2,1,0,0,213
